conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.76668E+18,Sun Mar 10 04:26:50 +0000 2024,1,Jajanan viral berupa sebuah Dessert yang tengah banyak si buru orang menyita perhatian pihak terkait. Bea Cukai Soekarno-Hatta bersama Badan Pengawas Obat dan Makanan (BPOM) telah memusnahkan 1 ton Milk Bun After You yang berasal dari negara Thailand. 2.564 bungkus itu https://t.co/LPEG3eFuhC,1.76668E+18,https://pbs.twimg.com/ext_tw_video_thumb/1766681472361259008/pu/img/WA1FShf6C1dE18qc.jpg,,in,,0,0,0,https://twitter.com/inilahdotcom/status/1766682098797252807,46693036,inilahdotcom
1.76668E+18,Sun Mar 10 04:15:29 +0000 2024,82,Kesukaan mah bebas bea dan cukai.. Ayo lanjutkan 09.10 022024,1.76668E+18,,,in,,0,0,0,https://twitter.com/WiwinPujiati23/status/1766679243449410041,1.40245E+18,WiwinPujiati23
1.76668E+18,Sun Mar 10 04:11:22 +0000 2024,0,Setoran Bank Mandiri untuk tahun buku 2023 lalu mencapai nilai Rp 665 29 triliun. Setoran itu dalam bentuk pajak bea cukai serta PNBP lainnya itu meningka 12 37% secara year on year. https://t.co/UJtcAmeTXa https://t.co/UJtcAmeTXa https://t.co/5Wc8gRUP3a,1.76668E+18,https://pbs.twimg.com/media/GISAd3DaYAAw9zE.jpg,,in,,0,0,0,https://twitter.com/Musti_Umbar/status/1766678208387420491,1.52977E+18,Musti_Umbar
1.76668E+18,Sun Mar 10 04:07:19 +0000 2024,0,Sepanjang 2023 lalu total setoran Bank Mandiri kepada negara dalam bentuk pajak bea cukai serta PNBP lainnya mencapai Rp 665 29 triliun meningkat 12 37% secara year on year. https://t.co/0OogQPdFMA,1.76668E+18,,,in,,0,0,0,https://twitter.com/Navpem/status/1766677186340323510,1.23049E+18,Navpem
1.76641E+18,Sun Mar 10 03:59:19 +0000 2024,6,@afri0491 @dinaaghnias @FOODFESS2 Harusnya di refund full sih karna costumer ga ada sangkut pautnya soal beacukai Bayar harga sesuai yg jastiper tentukan dn itu udah ready sampai indonesia,1.76668E+18,,afri0491,in,,0,0,0,https://twitter.com/fdthv95/status/1766675173414178918,1.61247E+18,fdthv95
1.76651E+18,Sun Mar 10 03:49:38 +0000 2024,0,@Fabian75915614 sini kak permanen via beacukai,1.76667E+18,,Fabian75915614,in,caratland,0,0,0,https://twitter.com/trnr_prtita/status/1766672737005867478,1.14891E+18,trnr_prtita
1.76667E+18,Sun Mar 10 03:48:12 +0000 2024,0,Sepanjang 2023 lalu total setoran Bank Mandiri kepada negara (pajak bea cukai serta PNBP lainnya) mencapai Rp 665 29 triliun meningkat 12 37 persen secara year on year (YoY). #bankmandiri https://t.co/7jBCndikGE,1.76667E+18,https://pbs.twimg.com/media/GIR7KjsbEAA3hmu.jpg,,in,,0,0,0,https://twitter.com/Julia_BSCF/status/1766672377726091728,1.30517E+18,Julia_BSCF
1.76667E+18,Sun Mar 10 03:44:36 +0000 2024,2,Bea Cukai menemukan ada penumpang yang bawa milk bun Thailand hingga ratusan kg. Tak wajar untuk konsumsi pribadi apalagi tak ada izin BPOM. #bisnisupdate #update #bisnis #text https://t.co/63zlyoEGNk,1.76667E+18,,,in,,0,0,2,https://twitter.com/kumparan/status/1766671469969629256,7.59693E+17,kumparan
1.76666E+18,Sun Mar 10 03:36:40 +0000 2024,0,@monmondarl 13 black beacukai nih,1.76667E+18,,monmondarl,in,,0,0,0,https://twitter.com/ihzaraihann/status/1766669476249080294,1.32492E+18,ihzaraihann
1.76667E+18,Sun Mar 10 03:35:08 +0000 2024,2,Mengintip 'THR' Dirjen Bea Cukai hingga Wamenlu dari Dividen BNI (BBNI) https://t.co/jI6OWdB78J,1.76667E+18,,,in,"Jakarta, Indonesia",0,0,0,https://twitter.com/Bisniscom/status/1766669086816391221,118646322,Bisniscom
